"gene_id","gene_symbol","logFC.Early_vs_Thin","logFC.Early_vs_Mature","logFC.Thin_vs_Mature","logCPM","PValue","FDR","F"
"YCR105W","ADH7",4.85304313949887,-7.20021431360626,-12.0532574531051,5.79031700885159,8.97620570784661e-14,4.55811725844451e-10,471.200707805184
"YGR087C","PDC6",4.97996895088342,4.77494999656923,-0.205018954314187,5.54006531417605,8.65335044105492e-13,2.19708567698384e-09,655.021442148942
"YHR094C","HXT1",5.09731762792018,4.06161060544604,-1.03570702247414,6.00569266253586,1.53595480723887e-12,2.59985950371966e-09,593.461942555228
"YEL071W","DLD3",6.73985262218265,-2.08710500736559,-8.82695762954824,4.58595357523093,2.44453997118937e-12,3.10334349342491e-09,391.227563770935
"YEL069C","HXT13",-6.46498184944469,-6.30438836039396,0.160593489050729,6.09916638303816,2.27042024771113e-11,2.30583880357543e-08,373.835941382665
"YDR403W","DIT1",-3.95507065568595,0.127354143803084,4.08242479948903,3.38017488325387,3.45250527484944e-11,2.4136147130048e-08,347.825175403058
"YGR088W","CTT1",4.40778637035865,4.85634482910755,0.448558458748905,6.0536770274072,3.49963873658129e-11,2.4136147130048e-08,346.394029182816
"YNR072W","HXT17",-5.98837153779971,-5.14177316077513,0.846598377024577,6.79091449523902,4.63198366881467e-11,2.4136147130048e-08,330.024629948864
"YKR097W","PCK1",-4.08771711562986,-5.19996309924851,-1.11224598361865,5.14205638585529,4.69606291976954e-11,2.4136147130048e-08,329.379195008479
"YNR074C","AIF1",-7.81272774141203,-1.59276862232026,6.21995911909176,1.35589891556443,4.75308135684285e-11,2.4136147130048e-08,149.18210715548
"YGL055W","OLE1",4.75650613184262,2.04871724104144,-2.70778889080118,7.77511901430927,7.60650530779246e-11,3.20439674171524e-08,302.79705007493
"YOR273C","TPO4",4.0456408556012,3.19569365371803,-0.849947201883167,5.3887693965084,8.05341153987837e-11,3.20439674171524e-08,299.861199095727
"YKL164C","PIR1",-3.25748397084053,-0.901878985971975,2.35560498486855,5.43605177271715,8.20345759005478e-11,3.20439674171524e-08,298.867207620175
