SRR10551657_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551658_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551659_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551660_trimmed_Aligned.sortedByCoord.out.bam	SRR10551661_trimmed_Aligned.sortedByCoord.out.bam	SRR10551662_trimmed_Aligned.sortedByCoord.out.bam	SRR10551663_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551664_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551665_1_trimmed_Aligned.sortedByCoord.out.bam
YDR356W	605	448	398	258	585	41	95	114	117
YDR357C	239	153	199	118	120	27	30	49	46
YDR358W	359	272	294	155	141	64	120	205	196
YDR359C	186	114	134	140	166	45	143	155	136
YDR361C	180	115	119	154	147	66	99	125	135
YDR362C	86	57	68	85	80	57	88	102	86
YDR363W	125	100	97	70	133	20	70	74	86
YNCD0026W	0	0	0	0	0	0	0	0	0
YDR363W-A	486	343	336	242	364	66	69	82	92
YDR364C	19	23	15	79	60	48	52	62	103
YDR365C	219	122	115	115	246	37	98	121	131
YDR365W-B	12	12	11	7	17	1	14	6	17
YDR365W-A	1	1	1	0	1	0	1	1	1
YDR366C	33	24	22	17	15	11	12	9	9
YDR367W	98	69	76	149	104	81	79	82	85
YDR368W	268	136	188	440	349	214	276	341	310
YDR369C	31	39	38	92	75	37	60	88	80
YDR370C	32	18	24	79	75	34	61	80	65
YDR371W	42	21	26	52	52	21	40	66	82
YDR372C	191	107	122	410	333	174	163	190	177
YDR373W	74	57	59	175	139	83	80	101	88
YDR374C	11	4	9	12	13	3	3	3	6
YDR374W-A	27	18	23	24	28	15	28	40	30
YDR375C	156	89	118	172	142	96	124	151	141
YDR376W	78	46	52	162	124	99	112	156	125
YDR377W	675	473	519	1181	916	515	437	533	530
YDR378C	101	76	68	147	117	86	74	103	98
YDR379W	128	117	116	171	199	45	227	231	288
YDR379C-A	383	316	386	217	283	79	85	89	103
YDR380W	36	27	40	207	93	81	23	32	25
YDR381W	436	341	306	522	445	285	275	378	369
YDR381C-A	174	143	126	184	254	64	73	105	119
YDR382W	437	269	342	610	385	281	249	285	272
YDR383C	36	27	26	48	59	15	28	32	31
YDR384C	32	21	34	14	16	10	23	26	14
YDR385W	1281	658	646	3981	1844	3026	3055	3232	2698
YDR386W	62	31	32	81	78	30	55	63	63
YDR387C	50	50	65	89	64	72	82	64	66
YDR388W	530	408	500	185	270	108	140	178	193
YDR389W	107	69	74	180	146	94	144	165	155
YDR390C	148	84	115	138	131	53	96	119	106
YNCD0027C	4	3	3	2	1	0	2	2	2
YDR391C	41	17	19	44	27	18	78	110	108
YDR392W	71	57	58	92	101	52	68	88	95
YDR393W	133	72	86	132	124	49	75	88	76
YDR394W	590	440	500	566	448	283	199	304	286
YDR395W	89	71	65	260	137	155	125	153	184
YDR397C	73	72	64	63	72	32	37	57	61
YDR398W	111	64	73	179	171	82	89	119	118
YDR399W	122	87	104	521	367	192	202	273	274
YDR400W	25	26	20	170	195	72	61	66	51
YDR402C	17	28	25	22	22	9	9	14	17
YDR403W	363	270	316	32	21	17	20	31	23
YDR404C	60	51	46	85	72	61	58	69	52
YDR405W	361	275	314	123	212	47	61	49	64
YDR406W	513	380	430	261	296	200	1451	1715	1568
YDR407C	78	60	68	194	132	55	106	133	140
YDR408C	78	53	80	186	165	107	82	86	87
YDR409W	57	39	40	47	72	14	71	68	76
YDR410C	41	35	27	50	42	35	41	54	38
YDR411C	98	84	107	148	190	98	65	70	78
YDR412W	85	56	68	108	164	23	38	68	68
YDR414C	22	17	18	77	70	56	30	50	39
YDR415C	27	26	16	87	50	49	33	47	50
YDR416W	59	34	36	104	94	60	87	91	93
YDR418W	535	317	350	1260	848	592	450	508	531
YDR419W	37	23	31	83	56	37	105	119	106
YNCD0028W	0	0	0	0	1	0	0	0	0
YDR420W	123	86	103	358	462	191	484	450	513
YDR421W	103	87	70	251	215	94	113	134	139
YDR422C	105	70	72	150	126	83	185	177	188
YDR423C	65	49	63	60	68	31	64	64	68
YDR424C	140	120	117	127	168	43	68	100	101
YDR425W	76	51	39	106	120	23	110	126	136
YDR427W	516	316	353	398	345	178	140	200	213
YDR428C	30	19	10	33	22	10	12	24	16
YDR429C	360	251	289	348	403	115	142	153	172
YDR430C	234	171	164	108	88	55	146	144	150
YDR432W	776	553	748	146	207	93	117	123	116
YDR434W	46	35	40	151	113	85	77	91	102
YDR435C	74	51	54	103	75	78	98	135	104
YDR436W	51	37	33	79	70	53	146	121	103
YDR437W	1	4	7	6	5	4	14	11	10
YDR438W	39	26	27	50	42	39	107	126	90
YDR439W	26	20	6	35	32	8	32	36	40
YDR440W	40	36	44	60	60	19	30	41	46
YDR441C	52	35	46	124	80	112	62	65	90
YDR443C	105	42	59	174	119	85	159	204	168
YDR444W	136	96	92	138	124	67	137	177	180
YNCD0029C	0	1	0	0	0	0	0	0	0
YDR446W	14	10	12	2	12	0	3	1	1
YDR447C	887	526	534	837	721	298	236	290	325
YDR448W	55	29	27	41	58	28	32	38	28
YDR449C	20	6	20	42	54	10	23	22	20
YDR450W	561	287	306	1005	656	365	279	397	378
YDR451C	64	36	43	95	66	53	19	38	29
YDR452W	659	545	580	399	583	194	288	407	350
YDR453C	37	20	21	28	35	18	29	31	29
YDR454C	147	50	98	176	158	113	116	121	137
YDR456W	413	242	280	530	333	421	561	587	475
YDR457W	674	447	526	998	770	580	1228	1304	1325
YDR458C	285	151	196	184	317	52	170	205	249
YDR459C	30	15	23	52	40	27	54	71	56
YDR460W	105	52	72	80	115	29	55	73	60
YDR461W	160	108	112	59	58	22	23	31	44
YDR461C-A	160	109	146	40	65	15	26	37	36
YDR462W	84	53	53	77	96	32	26	56	30
YDR463W	463	303	375	179	206	50	179	189	219
YDR464W	434	262	341	201	532	57	229	278	293
YDR465C	27	19	14	74	55	40	43	38	43
YDR466W	128	79	80	177	187	58	186	227	233
YDR468C	58	48	48	76	77	26	39	65	68
YDR469W	45	24	40	42	52	13	19	32	40
YDR470C	108	78	74	125	125	67	88	88	93
YDR471W	345	165	190	582	440	247	157	180	217
YNCD0030W	237	194	250	167	205	223	74	59	58
YDR472W	119	98	71	247	213	174	78	93	90
YDR473C	183	131	157	137	270	27	94	121	137
YDR475C	120	75	90	128	126	82	246	255	258
YDR476C	39	21	34	90	56	65	79	65	54
YDR477W	124	104	96	67	83	45	94	74	81
YDR478W	32	24	31	33	50	15	23	34	31
YDR479C	175	131	174	83	110	54	98	133	118
YDR480W	31	25	17	43	34	21	29	34	32
YDR481C	175	129	119	242	183	120	266	295	300
YDR482C	73	47	77	43	43	21	28	41	42
YDR483W	326	215	214	633	372	422	603	616	531
YDR484W	61	36	28	71	99	19	61	73	73
YDR485C	359	255	279	228	501	54	148	233	204
YDR486C	101	67	82	149	125	35	65	92	92
YDR487C	631	420	424	857	704	489	296	340	330
YDR488C	17	10	11	15	23	16	11	3	3
YDR489W	25	19	19	33	27	16	14	19	16
YDR490C	198	114	109	90	144	71	128	148	139
YDR492W	124	65	114	456	437	231	589	556	521
YDR493W	101	80	60	73	94	38	29	38	47
YDR494W	228	179	199	254	240	61	106	146	206
YDR495C	299	168	208	215	325	46	107	141	169
YDR496C	141	84	87	248	231	60	88	103	124
YDR497C	483	371	401	1047	1035	637	474	540	520
YDR498C	76	34	42	109	74	48	51	62	58
YDR499W	66	52	38	136	152	34	89	103	117
YDR500C	609	436	453	743	632	379	217	277	265
YDR501W	24	19	17	23	41	20	15	16	5
YDR502C	125	60	80	180	114	130	142	163	128
YDR503C	12	16	13	49	34	15	20	31	16
YDR504C	70	62	85	92	111	27	86	83	94
YDR505C	327	279	307	593	472	218	517	644	651
YDR506C	17	16	12	64	43	49	63	87	78
YNCD0031C	5	4	1	0	3	2	1	0	3
YDR507C	266	152	179	280	360	108	59	77	92
YDR508C	25	16	13	64	67	27	15	18	11
YDR510W	391	254	236	367	401	158	166	241	238
YDR511W	184	145	158	132	152	55	39	46	55
YDR512C	244	174	173	240	230	120	90	108	106
YDR513W	1073	761	805	1090	961	649	419	549	575
YDR514C	47	26	39	90	82	40	34	62	49
YDR515W	197	134	135	203	248	28	57	67	90
YDR516C	502	358	417	566	656	345	603	720	595
YDR517W	60	30	28	141	135	89	133	150	126
YDR518W	60	46	55	117	102	61	64	104	96
YDR519W	47	34	39	167	178	86	68	59	63
YDR520C	65	41	36	116	120	51	78	102	98
YDR522C	9	6	4	13	26	14	7	16	10
YDR523C	31	24	25	27	46	14	43	58	46
YDR524C	77	56	59	137	110	66	158	164	188
YDR524W-C	2795	2399	2921	1853	2000	685	671	633	573
YDR524C-B	3102	1888	2006	5285	4340	2307	1259	1466	1350
YDR525W	4	0	2	1	8	0	0	2	0
YDR525W-A	200	130	179	121	100	106	72	64	68
YDR527W	408	314	348	159	223	57	132	156	153
YNCD0032C	212	177	194	151	141	246	337	301	343
YDR528W	110	73	80	177	223	43	74	71	82
YDR529C	5191	3929	4447	2623	3731	1055	700	894	912
YDR530C	156	99	142	221	225	134	191	234	244
YDR531W	45	44	37	126	80	68	46	62	51
YDR532C	140	100	102	108	203	13	31	55	52
YDR533C	1834	1202	1298	2209	1640	1432	1479	1784	1683
YDR534C	39	17	33	26	19	12	33	16	17
YDR536W	419	214	269	713	573	449	69	66	66
YDR538W	14	10	15	56	32	21	30	25	30
YDR539W	79	60	46	187	128	123	142	185	184
YDR540C	31	17	25	18	49	3	25	29	34
YDR541C	39	17	14	66	47	34	84	110	100
YDR542W	17	11	23	7	10	3	15	14	14
YDR545W	90	56	81	58	114	50	349	374	377
YEL077C	94	76	98	72	109	38	233	277	241
YEL076C-A	0	1	1	3	0	1	19	20	24
YEL076C	0	0	0	3	0	1	19	19	24
YEL075C	1	0	0	0	0	0	0	1	0
YEL073C	0	0	0	42	34	20	27	33	36
YEL072W	0	0	0	142	135	75	56	81	70
YEL071W	1	2	1	1055	740	608	184	206	166
YEL070W	2300	1693	2098	1366	2160	755	17	11	15
YEL069C	1324	1091	1219	1420	1915	819	12	20	18
YEL068C	31	16	19	47	43	37	25	48	55
YEL067C	13	13	7	91	51	52	24	39	41
YEL066W	68	31	43	284	206	191	104	131	141
YEL065W	29	18	11	79	61	57	118	124	137
YEL064C	30	10	13	98	56	82	96	90	76
YEL063C	416	260	291	887	732	603	1482	1607	1443
YEL062W	41	24	32	97	72	44	129	162	141
YEL061C	165	108	98	153	192	28	64	73	131
YEL060C	2981	2027	2539	876	1076	951	2562	2838	2973
YEL059C-A	87	53	53	39	69	22	24	31	30
YEL059W	17	13	12	16	24	9	21	15	20
YEL058W	131	110	100	200	147	151	221	275	213
YEL057C	31	21	21	8	12	3	5	9	7
YEL056W	60	41	54	84	63	58	52	57	43
YEL055C	136	97	91	261	156	124	188	250	204
YNCE0001C	181	213	234	193	173	379	332	235	217
YEL054C	256	138	156	640	313	355	161	182	180
YEL053C	72	47	40	157	111	51	58	80	79
YEL052W	197	134	172	319	180	176	170	190	169
YEL051W	340	267	262	539	443	175	266	289	327
YEL050C	234	168	186	279	266	145	144	181	151
YNCE0002W	12	8	6	7	2	5	32	26	48
YNCE0003W	54	31	42	17	18	0	18	3	7
YNCE0004C	5	3	3	3	2	0	2	0	1
YEL049W	11	11	9	7	14	8	24	19	17
YEL048C	4	3	2	34	8	20	3	7	7
YEL047C	52	33	35	108	43	84	89	85	80
YEL046C	57	30	41	156	77	109	123	151	126
YEL044W	77	60	72	37	46	39	53	53	43
YEL043W	135	88	103	123	119	51	143	147	143
YEL042W	157	84	111	216	124	124	90	102	86
YEL041W	73	53	56	175	82	78	140	178	163
YEL040W	36	30	39	29	26	21	26	22	18
YEL039C	3713	3206	3827	641	1047	146	505	681	871
YEL038W	86	58	106	56	50	50	90	68	81
YEL037C	170	116	173	126	157	104	89	91	117
YEL036C	138	97	98	105	144	55	81	79	90
YEL035C	16	3	6	6	8	3	10	15	9
YEL034W	848	451	519	1565	1151	892	1213	1328	1303
YEL033W	645	469	570	610	673	349	547	555	488
YNCE0005W	14	17	27	4	6	11	10	4	5
YEL032W	62	50	52	129	90	89	163	158	158
YEL031W	499	318	359	1065	660	870	540	567	487
YEL030W	29	16	16	26	25	10	20	34	28
YEL029C	36	8	19	114	57	56	57	71	77
YEL028W	7	5	6	24	19	16	26	28	23
YNCE0006W	1	3	2	1	1	2	3	1	1
YEL027W	525	321	344	1368	914	816	922	1070	953
YEL026W	136	88	96	211	146	129	109	103	73
YEL025C	94	59	69	251	198	168	178	189	203
YEL024W	644	436	527	2246	1347	1035	839	1016	956
YEL023C	42	33	25	50	75	15	56	79	69
YEL022W	71	44	38	176	110	79	114	162	148
YEL021W	73	52	66	123	108	63	80	91	86
YEL020W-A	328	238	246	275	275	78	66	75	101
YNCE0007C	398	315	370	339	500	675	395	427	375
YEL020C	134	79	80	184	150	83	231	261	259
YEL019C	39	24	21	43	54	13	43	53	49
YEL018W	35	30	34	58	88	17	33	36	57
YEL017C-A	532	417	458	991	926	532	673	653	593
YEL017W	37	24	30	36	26	27	26	21	24
YEL016C	38	29	25	51	45	33	40	57	38
YEL015W	75	60	41	116	75	49	54	68	89
YEL014C	21	9	13	16	17	8	15	13	12
YEL013W	173	102	107	244	138	165	216	214	220
YNCE0008C	1	2	1	0	0	0	1	0	1
YEL012W	485	347	434	483	638	166	237	269	308
YEL011W	1890	1707	2089	386	542	224	609	734	721
YNCE0009C	6	3	2	0	2	1	0	0	0
YEL009C-A	17	16	25	7	4	4	7	7	4
YNCE0010W	8	3	4	1	3	1	2	1	5
YEL009C	4521	2998	3050	5671	4761	1898	2706	3270	3057
YEL008W	4	1	5	5	2	4	5	2	2
YEL007W	362	233	279	171	268	67	117	124	139
YEL006W	63	33	20	100	60	56	129	158	132
YEL005C	51	41	44	72	101	18	71	61	74
YEL004W	33	18	16	53	50	23	38	55	40
YEL003W	185	110	105	80	173	7	40	41	66
YEL002C	208	155	152	448	284	221	267	297	280
YEL001C	85	49	51	115	83	58	82	96	93
YER001W	337	250	251	503	274	213	424	479	463
YER002W	596	431	438	345	607	24	100	106	139
YER003C	154	122	139	292	243	172	98	102	108
YER004W	128	65	94	252	142	193	143	162	148
YER005W	47	31	42	72	51	50	106	111	132
YER006W	186	118	106	228	188	141	110	136	156
YER007W	19	12	16	26	16	16	49	51	34
YER007C-A	64	39	41	101	95	43	44	61	44
YNCE0011C	116	135	159	281	220	428	140	108	163
YER008C	478	385	430	296	501	76	291	354	354
YER009W	153	93	73	366	280	210	175	190	170
YER010C	62	63	46	83	78	33	155	159	169
YER011W	8	7	6	5	4	0	21	28	34
YNCE0012W	2	1	1	3	1	1	1	0	1
YER012W	375	237	280	539	392	172	165	231	206
YER013W	169	113	129	176	197	77	189	219	202
YER014W	91	44	75	119	94	56	96	116	99
YER014C-A	46	28	51	45	43	18	45	45	40
YER015W	35	23	22	41	21	27	58	65	58
YER016W	53	45	49	102	88	34	35	47	46
YER017C	408	300	352	304	327	181	239	264	273
YER018C	71	45	80	45	44	45	29	33	33
YER019W	51	47	54	44	51	41	40	51	52
YER019C-A	423	282	366	323	322	147	168	183	212
YER020W	176	99	139	137	156	61	124	148	130
YER021W	752	494	523	690	525	284	298	414	353
YER022W	92	61	65	137	108	36	60	85	81
YER023W	130	88	75	100	114	73	122	117	108
YER024W	182	110	106	244	190	158	121	125	110
YER025W	237	163	180	407	279	238	272	325	319
YNCE0013W	30	18	29	17	12	12	12	6	14
YER026C	361	249	300	387	359	232	278	316	287
YER027C	81	57	76	156	107	83	92	97	88
YER028C	87	79	108	34	51	10	65	104	111
YER029C	200	155	181	77	159	29	69	73	62
YER030W	467	360	407	196	461	22	58	79	111
YER031C	93	60	72	175	122	82	90	140	141
YER032W	52	32	38	77	59	15	37	49	64
YER033C	312	262	285	76	125	37	150	170	200
YER034W	97	58	61	42	78	11	42	63	53
YER035W	421	259	316	219	299	122	344	409	382
YER036C	289	209	260	557	364	365	588	732	659
YER037W	454	307	358	222	205	68	355	438	508
YER038C	152	131	153	53	55	22	67	89	117
YER038W-A	36	22	22	58	46	42	86	90	76
YER039C	48	25	25	95	67	80	119	133	113
YER039C-A	6	8	3	29	16	18	31	36	33
YER040W	55	37	42	123	111	49	135	123	157
YER041W	51	25	31	54	55	25	61	75	98
YER042W	66	32	51	91	101	55	85	105	115
YER043C	186	95	121	924	444	489	594	585	617
YER044C	492	423	449	475	393	249	459	532	602
YER044C-A	6	4	6	33	24	15	14	16	15
YER045C	294	193	266	529	546	204	337	405	410
YER046W	70	41	55	70	77	29	34	46	38
YER047C	163	102	116	188	199	66	141	173	149
YER048C	171	163	169	233	181	68	125	182	191
YNCE0014W	7	5	5	2	6	4	5	4	3
YER048W-A	59	50	31	179	172	77	39	58	51
YER049W	65	51	33	241	130	121	144	151	167
YER050C	312	211	248	292	350	42	58	89	110
YER051W	80	49	56	108	73	61	106	125	103
YER052C	444	341	356	560	470	337	136	174	127
YER053C	9399	7258	8358	4011	5194	2101	1533	1681	1514
YER053C-A	548	413	406	582	681	332	678	785	743
YER054C	669	499	595	155	238	53	155	194	179
YER055C	213	142	164	257	191	182	86	88	84
YER056C	351	180	186	1435	730	873	1495	1620	1409
YER056C-A	380	205	204	532	531	159	114	172	165
YER057C	309	167	158	437	381	273	275	306	344
YER058W	97	80	78	77	100	21	33	41	54
YER059W	39	42	39	95	99	33	88	116	112
YER060W	52	29	32	97	82	67	121	185	141
YER060W-A	76	47	43	227	120	115	227	251	187
YER061C	54	34	35	77	55	36	99	110	122
YER062C	279	236	246	196	165	100	356	427	374
YER063W	220	162	178	248	258	119	116	159	146
YER064C	33	15	14	25	25	15	7	20	9
YER065C	500	322	382	417	324	203	105	117	121
YNCE0015C	2	5	2	3	3	2	12	9	8
YER066W	44	29	48	31	36	22	72	73	69
YER067W	5016	3968	4449	899	1574	378	355	425	457
YER068W	220	122	172	202	196	82	147	172	209
YER069W	259	143	170	288	199	165	191	230	223
YER070W	197	140	107	294	149	203	118	109	112
YER071C	50	22	25	65	64	15	45	54	66
YER072W	162	101	86	246	186	137	93	120	129
YER073W	116	91	98	54	66	27	56	68	58
YER074W	657	437	433	1271	891	549	295	358	416
YER074W-A	117	98	123	133	138	68	61	75	81
YER075C	64	46	30	109	76	28	162	192	205
YNCE0016C	7	2	4	1	6	0	9	1	2
YER076C	12	7	5	24	13	7	11	28	14
YER077C	53	41	32	82	66	29	45	62	60
YER078C	167	132	108	215	161	103	131	118	128
YER078W-A	3	2	7	3	3	1	2	2	7
YER079W	325	176	224	124	238	53	130	177	206
YER080W	308	227	256	211	232	75	219	262	244
YNCE0017W	306	264	326	194	187	107	214	222	252
YER081W	474	317	413	358	353	168	290	352	331
YER082C	139	87	93	97	120	27	63	69	90
YER083C	92	50	93	79	104	59	70	77	72
YER084W	13	12	12	6	11	3	6	2	6
YER085C	12	7	5	5	12	5	6	9	12
YER086W	120	73	77	283	141	140	142	134	122
YER087W	42	29	34	59	47	33	56	61	63
YER087C-B	250	142	131	251	212	131	142	160	185
YER088C	773	514	631	311	548	148	474	486	473
YER089C	94	64	77	74	76	66	61	54	40
YER090W	114	96	101	276	172	212	128	147	160
YER091C	958	724	791	1245	697	976	994	1068	943
YER092W	86	72	84	105	122	46	32	41	51
YER093C	136	96	115	182	142	66	198	219	225
YER093C-A	20	15	29	50	41	21	28	39	31
YER094C	376	245	321	409	351	212	218	246	248
YER095W	107	49	63	190	104	153	109	102	114
YER096W	47	35	30	47	40	51	71	69	72
YNCE0018W	0	0	0	3	1	1	0	0	0
YER098W	254	136	182	144	123	40	119	129	136
YER099C	99	76	85	133	112	87	193	205	189
YER100W	155	123	125	218	201	70	97	138	173
YER101C	49	29	32	45	44	40	113	111	109
YER102W	922	582	572	2247	1432	1120	707	812	867
YER103W	3745	3076	3813	1002	1688	451	147	214	183
YER104W	28	14	13	44	47	18	40	33	44
YER105C	188	135	115	347	224	198	355	369	403
YER106W	33	17	12	18	38	4	12	18	13
YER107C	52	26	35	117	72	64	67	68	85
YER109C	37	32	26	105	85	37	55	83	91
YER110C	197	127	129	339	172	217	338	348	340
YER111C	215	136	158	209	246	35	112	155	165
YER112W	166	119	101	151	195	18	49	54	71
YER113C	32	26	23	58	66	59	56	88	73
YER114C	80	67	69	179	143	87	188	239	219
YER115C	70	47	64	28	51	11	28	41	33
YER116C	62	24	42	73	60	36	77	108	103
YER117W	521	366	357	1150	738	555	293	383	369
YER118C	37	27	19	101	84	36	23	41	59
YER119C	40	25	38	7	19	9	45	46	36
YER120W	215	106	154	260	165	173	161	169	165
YER121W	20	13	15	17	28	2	7	24	21
YER122C	177	145	139	266	248	95	140	165	204
YER123W	61	51	45	165	101	46	106	126	155
YER124C	255	201	212	330	236	119	95	85	93
YER125W	413	218	302	457	355	392	619	667	621
YER126C	38	17	20	111	70	38	27	38	52
YER127W	58	32	42	92	84	19	33	53	44
YER128W	30	29	21	13	34	8	27	18	26
YER129W	158	110	100	225	199	73	237	276	309
YER130C	79	56	60	129	86	47	63	78	92
YER131W	685	342	345	741	598	236	127	159	181
YNCE0019W	327	204	244	400	522	507	467	489	590
YER132C	94	63	80	213	167	105	388	402	458
YNCE0020C	11	9	11	3	3	8	9	3	5
YER133W	793	627	681	746	865	232	477	643	672
YNCE0021C	26	19	22	18	8	8	10	1	12
YNCE0022C	1	0	0	0	1	0	0	0	0
YER134C	20	17	13	34	37	17	47	51	42
YER135C	4	4	4	12	6	5	4	4	1
YNCE0023W	2	0	1	0	0	0	0	1	0
YER136W	157	98	112	467	271	224	427	508	556
YER137C	23	23	18	15	32	3	6	17	18
YNCE0024W	9108	7474	11293	7626	8031	10226	1133	1141	1217
YNCE0025C	1	1	0	0	0	0	0	0	1
YER138C	2	3	1	1	7	1	3	1	5
YER137C-A	1	1	1	0	4	0	1	1	1
YER138W-A	0	2	1	1	1	0	1	0	0
YER139C	11	9	13	56	37	15	39	44	42
YER140W	29	19	24	113	71	50	109	112	110
YER141W	609	410	497	1054	680	747	1925	2092	1992
YER142C	130	108	122	194	190	62	141	172	182
YER143W	142	95	109	204	123	105	96	126	122
YER144C	54	52	49	68	73	68	48	33	42
YER145C	56	33	38	193	157	132	55	62	58
YER145C-A	99	54	71	62	93	29	42	37	45
YER146W	125	68	90	65	104	37	47	41	51
YER147C	52	33	40	63	39	32	57	74	55
YER148W	212	131	132	386	363	149	105	162	144
YER149C	32	28	24	44	49	26	30	43	37
YER150W	4975	3614	4754	1974	3204	929	1126	1251	1106
YNCE0026W	4	4	13	2	1	2	1	0	3
YER151C	355	222	261	223	273	74	222	247	269
YER152C	51	26	41	32	41	41	49	38	47
YER153C	0	0	3	2	4	2	5	2	1
YER154W	123	77	78	45	82	25	29	40	56
YER155C	307	206	235	747	483	259	749	773	800
YER156C	50	23	27	71	37	44	38	34	42
YER157W	41	27	29	105	67	36	73	82	91
YNCE0027C	0	0	0	2	0	0	0	0	0
YER158C	302	181	198	379	289	183	564	632	603
YER159C	362	253	269	75	181	21	45	56	60
YNCE0028C	5	8	2	8	5	3	3	4	3
YER160C	1	1	1	5	3	0	3	1	1
YER159C-A	0	1	0	0	0	0	1	0	0
YER161C	184	116	141	145	219	42	146	160	151
YER162C	82	68	55	149	140	51	121	185	173
YER163C	64	58	74	85	68	50	77	89	85
YER164W	353	240	276	224	291	85	341	407	413
YER165W	783	412	479	818	767	362	689	727	652
YER166W	315	227	256	447	290	296	489	539	475
YER167W	161	84	92	185	150	73	189	189	218
YER168C	69	52	51	87	69	52	59	94	75
YER169W	261	218	217	159	146	86	378	444	429
YER170W	20	10	6	40	30	16	17	9	11
YER171W	59	39	49	93	76	56	59	92	81
YER172C	168	103	145	286	200	149	327	372	405
YER173W	48	27	32	71	69	23	63	91	91
YER174C	125	85	112	155	109	102	117	161	148
YER175C	95	67	68	63	53	24	66	75	71
YER175W-A	1	1	4	4	2	3	3	7	6
YER176W	329	226	247	180	380	82	194	279	241
YER177W	1181	695	760	1342	1277	780	1037	1173	1117
YER178W	665	432	468	862	574	539	555	612	578
YER179W	9	4	5	2	16	1	6	15	13
YER180C	35	22	23	43	54	15	30	30	17
YER180C-A	3	7	2	23	16	10	8	12	18
YNCE0029C	3	0	0	0	1	0	1	1	0
YER181C	2	2	1	2	1	1	7	8	5
YER182W	557	387	428	321	403	119	176	233	220
YER183C	45	23	35	51	40	30	31	41	37
YER184C	16	8	11	63	30	48	56	61	71
YER185W	10	4	14	23	22	12	16	18	3
YER186C	42	47	27	150	143	82	159	191	164
YER187W	10	8	12	16	20	5	17	32	20
YER188W	0	0	1	0	0	0	0	0	0
YER188C-A	3	7	12	1	7	1	4	2	3
YER189W	9	6	1	11	8	9	49	51	59
YER190W	61	39	45	55	52	37	309	349	310
YER190C-B	0	0	0	0	0	0	0	2	0
YFL068W	37	14	20	43	55	33	192	196	196
YFL067W	2	1	2	1	4	4	25	29	23
YFL066C	41	34	27	27	37	19	74	106	83
YFL065C	25	10	9	15	16	19	42	67	73
YFL064C	21	5	5	4	12	9	60	75	80
YFL062W	1077	869	1074	1284	1121	756	1191	1395	1232
YFL061W	188	100	130	69	26	49	22	25	23
YFL060C	27	8	24	61	48	26	27	27	24
YFL059W	59	40	42	96	76	72	36	33	35
YFL058W	21	8	7	50	29	37	19	28	30
YFL056C	180	118	145	2512	1823	1844	164	206	213
YFL055W	0	0	0	12	9	10	13	19	17
YFL054C	2	2	0	50	51	38	18	37	28
YFL053W	1	1	0	31	30	15	7	5	4
YFL052W	2	0	1	86	66	71	35	24	27
YFL051C	14	9	5	7	17	10	2	8	8
YFL050C	53	26	34	214	149	116	172	242	204
YFL049W	87	55	52	129	136	50	86	111	121
YFL048C	140	98	100	213	161	112	106	117	129
YFL047W	37	30	20	45	45	28	33	27	45
YFL046W	63	37	52	81	91	17	25	44	46
YFL045C	215	147	160	387	279	226	169	181	152
YFL044C	28	18	26	112	64	94	86	101	67
YFL042C	147	98	104	116	112	86	189	199	173
YFL041W-A	9	11	16	10	10	0	21	27	20
YFL041W	156	87	137	206	141	142	143	149	151
YFL040W	13	7	12	14	18	3	5	4	11
YFL039C	2904	1835	1945	3496	2316	2427	1897	2011	1745
YFL038C	596	408	450	542	575	266	332	384	400
YFL037W	259	162	183	268	157	121	99	98	94
YNCF0001C	24	14	24	8	15	1	8	8	1
YFL036W	360	246	256	646	426	335	379	465	404
YFL034C-B	61	33	31	49	45	18	17	16	24
YFL034C-A	75	38	20	118	111	34	43	49	47
YFL034W	164	105	124	141	181	60	154	221	183
YFL033C	254	174	187	390	328	170	648	655	650
YFL031W	1230	794	928	732	909	765	489	523	459
YFL030W	455	311	400	496	381	290	642	765	673
YFL029C	72	51	53	38	57	17	50	53	61
YFL028C	91	58	62	205	166	90	92	112	87
YFL027C	58	42	27	83	57	44	61	72	58
YFL026W	22	17	23	27	22	18	29	40	22
YFL025C	49	27	25	130	68	62	82	91	72
YFL024C	209	135	131	106	135	62	118	143	140
YFL023W	252	159	201	171	311	31	142	155	139
YFL022C	111	82	81	165	112	94	100	109	102
YFL021W	235	119	156	145	185	95	446	438	424
YFL020C	20	11	16	10	15	12	21	12	13
YFL019C	14	16	12	6	13	8	20	21	12
YNCF0002W	14	7	7	4	8	9	1	5	3
YFL018C	1093	819	941	1155	1002	580	406	513	444
YFL017W-A	105	85	97	83	108	47	43	38	25
YFL017C	44	28	45	32	56	18	6	28	23
YFL016C	975	775	915	273	717	142	239	305	276
YFL015C	45	34	45	8	9	1	4	6	6
YFL014W	8386	6735	8235	1375	2825	480	798	1259	1498
YFL013C	128	93	116	109	116	39	98	145	132
YFL012W	0	3	2	2	2	1	1	2	1
YFL011W	14	6	6	9	6	5	1	5	6
YFL010W-A	57	34	36	54	83	34	41	50	36
YFL010C	52	21	32	85	97	63	42	50	38
YFL009W	69	57	53	139	115	98	152	171	153
