SRR10551657_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551658_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551659_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551660_trimmed_Aligned.sortedByCoord.out.bam	SRR10551661_trimmed_Aligned.sortedByCoord.out.bam	SRR10551662_trimmed_Aligned.sortedByCoord.out.bam	SRR10551663_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551664_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551665_1_trimmed_Aligned.sortedByCoord.out.bam
YBL098W	65	52	41	108	109	70	62	77	71
YBL097W	55	22	47	59	70	34	44	68	68
YBL095W	48	33	46	129	109	103	201	220	185
YBL093C	97	48	57	121	118	49	89	110	92
YBL092W	1093	573	584	1621	1263	587	530	667	692
YBL091C-A	65	29	59	39	59	23	58	70	50
YBL091C	732	499	595	569	641	276	293	363	325
YBL090W	137	104	108	222	192	95	83	97	114
YBL089W	56	40	37	79	62	48	72	78	84
YBL088C	177	90	101	252	246	127	304	351	365
YBL087C	299	179	167	509	313	255	202	258	236
YBL086C	253	193	251	125	156	39	100	132	168
YBL085W	144	105	118	204	206	78	126	159	182
YBL084C	108	87	58	153	142	38	162	175	199
YBL082C	40	20	30	80	57	60	90	76	63
YBL081W	41	24	14	77	57	25	39	54	40
YBL080C	59	36	33	60	49	32	36	51	42
YBL079W	168	106	111	247	177	143	283	325	338
YBL078C	378	228	248	213	288	66	165	199	229
YBL076C	360	210	230	792	402	495	387	424	444
YBL075C	335	207	269	237	232	127	301	399	374
YBL074C	20	21	15	35	23	22	30	37	35
YNCB0003W	2	7	7	16	27	11	11	7	13
YBL072C	1095	692	691	2651	1646	1351	869	1043	1094
YBL071C-B	6	3	3	17	19	11	3	5	6
YBL071W-A	18	13	9	38	31	12	26	10	11
YBL071C	40	24	28	32	48	11	25	35	24
YBL069W	24	16	13	28	25	21	18	9	12
YBL068W	38	17	22	98	53	45	40	43	30
YBL067C	170	121	119	232	251	108	227	275	263
YBL066C	250	162	237	248	254	163	205	225	250
YBL064C	2553	1887	2186	1876	1647	857	967	1180	1096
YBL063W	106	79	66	107	119	30	67	91	97
YBL061C	75	58	50	107	89	63	74	84	97
YBL060W	103	68	74	85	77	27	76	82	93
YBL059C-A	328	206	210	311	329	90	85	95	108
YBL059W	103	52	62	102	97	35	14	38	28
YBL058W	392	290	326	269	265	106	181	230	220
